,Vf (m^3),Work (J)
0,0.1,0.0
1,0.12222222222222223,-500.512852021617
2,0.14444444444444446,-917.1791680100712
3,0.16666666666666669,-1274.1013300373295
4,0.1888888888888889,-1586.2833003878497
5,0.21111111111111114,-1863.7023604723238
6,0.23333333333333336,-2113.330625623613
7,0.2555555555555556,-2340.2325593666105
8,0.2777777777777778,-2548.2031145126093
9,0.30000000000000004,-2740.159510898156
