T (K),Z,U (eV/mol),F (eV/mol),S (eV/mol/K)
300.0,6.000158367828375,0.00011408575266812367,-0.04632489115609306,0.0001547965896958706
488.8888888888889,6.010396773554267,0.0010045139415645055,-0.07556424698753529,0.0001561103362040784
677.7777777777778,6.06625932518051,0.003918927846238152,-0.10529990705541158,0.00016033210958022232
866.6666666666666,6.188357109248062,0.009377983276332269,-0.13613415505117482,0.00016706499756941398
1055.5555555555557,6.368406813302455,0.01687983239348123,-0.16841335058163465,0.00017483494701340917
1244.4444444444443,6.587799319642986,0.025474537567376276,-0.202182912811796,0.00018239093902976773
1433.3333333333333,6.829187238576002,0.03433568885479832,-0.23731659421510243,0.00018911463563416856
1622.2222222222222,7.079639783740288,0.042929508626011526,-0.2736262196069264,0.0001948336308357578
1811.111111111111,7.330440250676146,0.05097447925290233,-0.31092041030861095,0.00019959454013159894
2000.0,7.576073740489735,0.05446989283884534,-0.3490286014344193,0.00020174924713663257
