T (K),Z,U (eV/mol),F (eV/mol),S (eV/mol/K)
300.0,4.0194307925045525,0.0017064173325385462,-0.03596658743230978,0.0001255766825494944
488.8888888888889,4.123247425603556,0.004958470652593111,-0.0596866274694365,0.00013037479400531258
677.7777777777778,4.301485690025218,0.011208269342572075,-0.08521928738987232,0.00014072332690716948
866.6666666666666,4.530837906171108,0.01980519437334005,-0.11284877318992274,0.00015184748213366522
1055.5555555555557,4.7942100355665955,0.02996215299041083,-0.14258389175147917,0.0001625473633688409
1244.4444444444443,5.077482492955144,0.0408009725512406,-0.1742555549070404,0.00017213594693988985
1433.3333333333333,5.369524153428866,0.05162025129504055,-0.2076130272621042,0.00018036416152122442
1622.2222222222222,5.662217542591827,0.061973561695928714,-0.24239312703728075,0.00018725896298009024
1811.111111111111,5.950017889796723,0.07162791768415921,-0.2783553021656939,0.0001929726974891331
2000.0,6.229357174342416,0.07582089414212005,-0.31529392386650884,0.0001955574090043145
